stock,total_trades,profit_count,loss_count,win_rate,top_profit_ratios,top_loss_ratios,代號,股票名稱
1402.TW,15,8,7,53.333333333333336,"4.61%, 4.37%, 4.09%","-3.81%, -3.55%, -3.47%",1402.TW,遠東新
1409.TW,16,6,10,37.5,"5.34%, 3.12%, 1.55%","-5.33%, -5.11%, -4.66%",1409.TW,新纖
1410.TW,16,4,12,25.0,"15.77%, 0.63%, 0.27%","-7.59%, -6.22%, -4.45%",1410.TW,南染
1413.TW,10,6,4,60.0,"12.41%, 11.96%, 3.37%","-11.06%, -5.65%, -2.13%",1413.TW,宏洲
1414.TW,15,8,7,53.333333333333336,"5.37%, 5.08%, 4.89%","-10.58%, -3.56%, -2.84%",1414.TW,東和
1416.TW,15,8,7,53.333333333333336,"10.63%, 4.98%, 4.33%","-9.72%, -5.28%, -3.90%",1416.TW,廣豐
1417.TW,13,2,11,15.384615384615385,"30.09%, 1.49%","-9.86%, -9.14%, -5.86%",1417.TW,嘉裕
1418.TW,13,6,7,46.15384615384615,"52.01%, 24.28%, 11.33%","-13.99%, -8.05%, -7.86%",1418.TW,東華
1419.TW,17,8,9,47.05882352941176,"7.79%, 4.70%, 3.23%","-7.20%, -6.38%, -4.69%",1419.TW,新紡
1423.TW,17,10,7,58.82352941176471,"43.66%, 8.43%, 2.38%","-6.07%, -4.76%, -2.01%",1423.TW,利華
1432.TW,12,6,6,50.0,"41.46%, 11.21%, 9.85%","-6.20%, -3.11%, -1.67%",1432.TW,大魯閣
1434.TW,14,4,10,28.57142857142857,"3.75%, 3.46%, 2.48%","-6.54%, -4.70%, -4.05%",1434.TW,福懋
1435.TW,13,7,6,53.84615384615385,"26.75%, 23.08%, 8.66%","-9.29%, -5.44%, -3.57%",1435.TW,中福
1436.TW,11,4,7,36.36363636363637,"107.00%, 26.16%, 25.73%","-10.89%, -2.12%, -1.90%",1436.TW,華友聯
1437.TW,16,6,10,37.5,"18.46%, 6.50%, 3.12%","-7.65%, -6.58%, -5.61%",1437.TW,勤益控
1438.TW,13,6,7,46.15384615384615,"43.29%, 32.89%, 12.66%","-13.36%, -4.67%, -3.17%",1438.TW,三地開發
1439.TW,13,8,5,61.53846153846154,"13.90%, 7.17%, 3.22%","-3.65%, -1.77%, -1.55%",1439.TW,雋揚
1440.TW,15,3,12,20.0,"12.58%, 8.59%, 0.89%","-13.94%, -4.58%, -3.44%",1440.TW,南紡
1441.TW,13,4,9,30.76923076923077,"6.02%, 5.17%, 5.11%","-13.33%, -3.68%, -3.36%",1441.TW,大東
1442.TW,14,7,7,50.0,"80.88%, 32.57%, 19.59%","-12.55%, -7.94%, -5.64%",1442.TW,名軒
1443.TW,20,6,14,30.0,"24.07%, 22.87%, 6.30%","-13.26%, -4.90%, -3.97%",1443.TW,立益物流
1444.TW,17,4,13,23.52941176470588,"8.41%, 1.46%, 1.46%","-8.56%, -8.04%, -6.31%",1444.TW,力麗
1445.TW,13,7,6,53.84615384615385,"25.23%, 3.58%, 2.54%","-1.29%, -0.95%, -0.62%",1445.TW,大宇
1446.TW,16,6,10,37.5,"38.85%, 12.33%, 5.94%","-9.25%, -7.21%, -6.00%",1446.TW,宏和
1447.TW,11,4,7,36.36363636363637,"24.40%, 9.86%, 3.28%","-12.34%, -4.32%, -2.10%",1447.TW,力鵬
1449.TW,14,4,10,28.57142857142857,"25.00%, 11.22%, 10.91%","-17.51%, -13.44%, -12.64%",1449.TW,佳和
1451.TW,16,6,10,37.5,"9.57%, 7.53%, 5.76%","-2.87%, -2.81%, -2.66%",1451.TW,年興
1452.TW,13,4,9,30.76923076923077,"2.55%, 1.80%, 0.59%","-2.62%, -2.27%, -2.10%",1452.TW,宏益
1453.TW,10,4,6,40.0,"163.51%, 62.50%, 13.33%","-7.51%, -5.95%, -3.97%",1453.TW,大將
1454.TW,11,4,7,36.36363636363637,"23.33%, 13.67%, 3.08%","-18.05%, -5.42%, -3.96%",1454.TW,台富
1455.TW,14,4,10,28.57142857142857,"11.22%, 2.71%, 2.38%","-6.67%, -5.58%, -4.39%",1455.TW,集盛
1456.TW,23,7,16,30.434782608695656,"7.05%, 5.89%, 5.10%","-8.46%, -6.25%, -6.14%",1456.TW,怡華
1457.TW,13,7,6,53.84615384615385,"20.84%, 5.11%, 4.07%","-3.60%, -3.52%, -1.87%",1457.TW,宜進
1459.TW,15,6,9,40.0,"10.72%, 6.92%, 4.63%","-16.39%, -8.04%, -7.17%",1459.TW,聯發
1460.TW,13,4,9,30.76923076923077,"22.49%, 4.77%, 1.42%","-8.05%, -5.34%, -3.89%",1460.TW,宏遠
1463.TW,14,7,7,50.0,"32.47%, 6.95%, 2.80%","-3.61%, -3.00%, -2.25%",1463.TW,強盛
1464.TW,13,5,8,38.46153846153847,"12.75%, 12.14%, 4.61%","-5.07%, -4.41%, -4.15%",1464.TW,得力
1465.TW,17,7,10,41.17647058823529,"4.53%, 4.18%, 4.12%","-4.33%, -3.56%, -3.35%",1465.TW,偉全
1466.TW,16,4,12,25.0,"18.22%, 6.13%, 4.95%","-11.22%, -11.02%, -6.64%",1466.TW,聚隆
1467.TW,15,3,12,20.0,"3.91%, 2.42%, 1.30%","-10.08%, -7.46%, -6.67%",1467.TW,南緯
1468.TW,12,8,4,66.66666666666666,"14.63%, 5.84%, 5.02%","-6.57%, -5.19%, -4.65%",1468.TW,昶和
1470.TW,12,7,5,58.333333333333336,"23.25%, 12.00%, 3.54%","-13.99%, -4.63%, -2.58%",1470.TW,大統新創
1471.TW,16,6,10,37.5,"55.15%, 13.85%, 11.18%","-10.78%, -10.10%, -8.61%",1471.TW,首利
1472.TW,11,5,6,45.45454545454545,"48.44%, 34.76%, 27.69%","-9.63%, -8.14%, -4.83%",1472.TW,三洋實業
1473.TW,15,8,7,53.333333333333336,"30.65%, 23.47%, 12.45%","-7.89%, -4.58%, -2.70%",1473.TW,台南
1474.TW,14,6,8,42.857142857142854,"12.60%, 9.88%, 7.08%","-8.10%, -4.43%, -3.45%",1474.TW,弘裕
1475.TW,15,7,8,46.666666666666664,"17.13%, 11.87%, 7.18%","-12.48%, -7.66%, -7.03%",1475.TW,業旺
1476.TW,14,6,8,42.857142857142854,"13.18%, 9.42%, 3.93%","-8.13%, -7.04%, -6.78%",1476.TW,儒鴻
1477.TW,11,8,3,72.72727272727273,"39.61%, 18.15%, 14.71%","-8.77%, -2.22%, -2.03%",1477.TW,聚陽
1503.TW,9,5,4,55.55555555555556,"138.66%, 65.58%, 43.63%","-13.10%, -9.07%, -6.30%",1503.TW,士電
1504.TW,14,5,9,35.714285714285715,"85.27%, 23.38%, 1.62%","-16.00%, -6.76%, -6.15%",1504.TW,東元
1506.TW,15,6,9,40.0,"21.14%, 8.63%, 5.88%","-11.26%, -8.20%, -4.91%",1506.TW,正道
1512.TW,11,1,10,9.090909090909092,31.52%,"-10.07%, -8.47%, -6.65%",1512.TW,瑞利
1513.TW,12,6,6,50.0,"77.49%, 49.58%, 18.61%","-15.13%, -7.12%, -5.78%",1513.TW,中興電
1514.TW,12,8,4,66.66666666666666,"50.18%, 44.17%, 23.49%","-7.22%, -6.58%, -5.56%",1514.TW,亞力
1515.TW,17,5,12,29.411764705882355,"11.69%, 7.89%, 2.56%","-20.54%, -12.74%, -12.34%",1515.TW,力山
